Input Resistor,Output Voltage,RMS Johnson Voltage,Spectral Density,Boltzmanns Constant
10,0.5755,10,2.56E-19,2.14E-23
10,0.5746,10,1.56E-19,1.30E-23
10,0.574,10,8.90E-20,7.45E-24
10,0.5757,10,2.78E-19,2.33E-23
10,0.5762,10,3.34E-19,2.79E-23
10,0.5757,10,2.78E-19,2.33E-23
10,0.5746,10,1.56E-19,1.30E-23
10,0.5755,10,2.56E-19,2.14E-23
10,0.5748,10,1.78E-19,1.49E-23
10,0.5753,10,2.34E-19,1.96E-23
100,0.5893,100,1.79E-18,1.50E-23
100,0.5892,100,1.78E-18,1.49E-23
100,0.5884,100,1.69E-18,1.42E-23
100,0.5889,100,1.75E-18,1.46E-23
100,0.5867,100,1.50E-18,1.26E-23
100,0.5892,100,1.78E-18,1.49E-23
100,0.5889,100,1.75E-18,1.46E-23
100,0.589,100,1.76E-18,1.47E-23
1000,0.7262,1000,1.70E-17,1.42E-23
1000,0.7279,1000,1.72E-17,1.44E-23
1000,0.7274,1000,1.72E-17,1.44E-23
1000,0.728,1000,1.72E-17,1.44E-23
1000,0.7295,1000,1.74E-17,1.46E-23
1000,0.73,1000,1.74E-17,1.46E-23
1000,0.7282,1000,1.72E-17,1.44E-23
1000,0.7286,1000,1.73E-17,1.45E-23
1000,0.7268,1000,1.71E-17,1.43E-23
1000,0.7271,1000,1.71E-17,1.43E-23
10000,2.061,10000,1.66E-16,1.39E-23
10000,2.079,10000,1.68E-16,1.40E-23
10000,2.073,10000,1.67E-16,1.40E-23
10000,2.083,10000,1.68E-16,1.41E-23
10000,2.076,10000,1.67E-16,1.40E-23
10000,2.079,10000,1.68E-16,1.40E-23
10000,2.077,10000,1.67E-16,1.40E-23
10000,2.081,10000,1.68E-16,1.40E-23
10000,2.077,10000,1.67E-16,1.40E-23
10000,2.082,10000,1.68E-16,1.41E-23