V_dc,Vout
0.108,1.1379
0.108,1.157
0.108,1.1487
0.108,1.144
0.108,1.1753
0.108,1.1427
0.108,1.133
0.108,1.1387
0.108,1.1317
0.108,1.1352
,
0.2508,2.0363
0.2508,2.2269
0.2508,2.279
0.2508,2.113
0.2508,2.129
0.2508,2.053
0.2508,2.02
0.2508,2.086
0.2508,2.052
0.2508,2.031
,
0.4172,2.976
0.4172,2.947
0.4172,2.884
0.4172,2.867
0.4172,2.865
0.4172,2.873
0.4172,2.888
0.4172,2.884
0.4172,2.895
0.4172,2.901
,
0.7035,4.148
0.7035,4.189
0.7035,4.229
0.7035,4.202
0.7035,4.168
0.7035,4.233
0.7035,4.294
0.7035,4.167
0.7035,4.236
0.7035,4.192
0.7035,4.27
,
0.9513,4.935
0.9513,4.939
0.9513,4.949
0.9513,4.961
0.9513,4.987
0.9513,4.944
0.9513,4.953
0.9513,4.937
0.9513,4.949
0.9513,4.947