calibration,output,temperature,kb
0.989,0.0876,86.56716418,1.34E-23
0.989,0.08753,86.56716418,1.33E-23
0.989,0.08732,86.56716418,1.33E-23
0.989,0.0872,86.56716418,1.32E-23
0.989,0.08755,86.56716418,1.33E-23
0.989,0.08725,86.56716418,1.32E-23
0.989,0.08705,86.56716418,1.32E-23
0.989,0.08785,86.56716418,1.34E-23
0.989,0.08715,86.56716418,1.32E-23
0.989,0.08725,86.56716418,1.32E-23
0.989,0.08756,86.56716418,1.33E-23
0.989,0.08735,86.56716418,1.33E-23
0.974,0.09354,92.1641791,1.45E-23
0.964,0.09332,95.89552239,1.39E-23
0.959,0.09336,97.76119403,1.37E-23
0.957,0.093,98.50746269,1.34E-23
0.955,0.09387,99.25373134,1.36E-23
0.953,0.09506,100,1.39E-23
0.952,0.0949,100.3731343,1.38E-23
0.947,0.09526,102.238806,1.36E-23
0.944,0.09513,103.358209,1.34E-23
0.942,0.0956,104.1044776,1.35E-23
0.938,0.09687,105.5970149,1.37E-23
0.936,0.09802,106.3432836,1.39E-23
0.93,0.09875,108.5820896,1.38E-23
0.924,0.09931,110.8208955,1.37E-23
0.915,0.10142,114.1791045,1.39E-23
0.912,0.10209,115.2985075,1.39E-23
0.908,0.10294,116.7910448,1.40E-23
0.904,0.10439,118.2835821,1.42E-23
0.895,0.10589,121.641791,1.42E-23
0.885,0.1088,125.3731343,1.45E-23
0.875,0.1095,129.1044776,1.42E-23
0.859,0.1121,135.0746269,1.42E-23
0.851,0.11386,138.0597015,1.43E-23
0.745,0.12727,177.6119403,1.34E-23
0.73,0.13,183.2089552,1.35E-23
0.71,0.13287,190.6716418,1.34E-23
0.694,0.13741,196.641791,1.37E-23
0.673,0.14022,204.4776119,1.36E-23
0.662,0.14362,208.5820896,1.39E-23
0.621,0.14972,223.880597,1.38E-23
0.585,0.15627,237.3134328,1.38E-23
0.566,0.15989,244.4029851,1.39E-23