calibration,output
0.989,87.6
0.989,87.53
0.989,87.32
0.989,87.2
0.989,87.55
0.989,87.25
0.989,87.05
0.989,87.85
0.989,87.15
0.989,87.25
0.989,87.56
0.989,87.35
0.974,93.54
0.964,93.32
0.959,93.36
0.957,93
0.955,93.87
0.953,95.06
0.952,94.9
0.947,95.26
0.944,95.13
0.942,95.6
0.938,96.87
0.936,98.02
0.93,98.75
0.924,99.31
0.915,101.42
0.912,102.09
0.908,102.94
0.904,104.39
0.895,105.89
0.885,108.8
0.875,109.5
0.859,112.1
0.851,113.86
0.745,127.27
0.73,130
0.71,132.87
0.694,137.41
0.673,140.22
0.662,143.62
0.621,149.72
0.585,156.27
0.566,159.89